Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
3.968,0.123,0.000,3.681,0.002,0.300,3.272,0.070,0.532,0.422,2.231,
3.956,0.120,0.000,3.674,0.002,0.298,3.276,0.067,0.586,0.384,2.223,
3.949,0.134,0.000,3.613,0.003,0.306,3.205,0.069,0.533,0.369,2.219,
3.956,0.139,0.000,3.654,0.002,0.299,3.252,0.068,0.535,0.376,2.258,
11.961,0.215,0.000,11.582,0.002,0.301,11.180,0.076,0.531,0.390,10.167,
4.830,0.169,0.000,4.498,0.002,0.328,4.072,0.067,0.545,0.377,3.068,
3.965,0.122,0.000,3.682,0.003,0.298,3.288,0.074,0.525,0.386,2.288,
3.909,0.124,0.000,3.623,0.003,0.295,3.233,0.068,0.526,0.417,2.205,
3.939,0.113,0.000,3.663,0.003,0.298,3.273,0.073,0.565,0.370,2.250,
3.972,0.175,0.000,3.633,0.003,0.337,3.203,0.068,0.526,0.372,2.221,
3.904,0.181,0.000,3.559,0.002,0.299,3.170,0.068,0.533,0.377,2.176,
3.968,0.121,0.000,3.685,0.002,0.298,3.289,0.068,0.529,0.370,2.306,
3.923,0.117,0.000,3.644,0.002,0.297,3.246,0.066,0.523,0.367,2.276,
3.919,0.122,0.000,3.634,0.003,0.297,3.236,0.066,0.533,0.398,2.224,
11.958,0.121,0.000,11.674,0.003,0.296,11.189,0.066,0.532,0.367,10.209,
4.978,0.221,0.000,4.591,0.002,0.301,4.200,0.073,0.543,0.392,3.175,
3.975,0.074,0.000,3.737,0.003,0.367,3.264,0.071,0.535,0.388,2.254,
3.997,0.121,0.000,3.714,0.003,0.301,3.309,0.068,0.541,0.388,2.296,
4.061,0.176,0.000,3.721,0.002,0.300,3.311,0.079,0.540,0.397,2.278,
4.096,0.120,0.000,3.813,0.002,0.303,3.413,0.067,0.529,0.381,2.420,
4.676,0.090,0.000,4.422,0.002,0.305,4.025,0.071,0.561,0.384,2.991,
4.186,0.131,0.000,3.890,0.002,0.304,3.491,0.075,0.532,0.394,2.475,
4.242,0.143,0.000,3.936,0.003,0.318,3.520,0.066,0.539,0.378,2.521,
4.403,0.122,0.000,4.117,0.003,0.314,3.705,0.064,0.576,0.371,2.679,
5.483,0.121,0.000,5.164,0.003,0.301,4.631,0.071,0.535,0.366,3.644,
11.905,0.119,0.000,11.624,0.002,0.296,11.219,0.065,0.525,0.419,10.193,
5.017,0.117,0.000,4.737,0.002,0.298,4.266,0.074,0.537,0.384,3.254,
3.911,0.131,0.000,3.616,0.002,0.302,3.216,0.064,0.580,0.376,2.180,
3.967,0.120,0.000,3.684,0.003,0.350,3.236,0.065,0.531,0.377,2.246,
3.900,0.119,0.000,3.617,0.003,0.301,3.212,0.066,0.535,0.387,2.209,
3.906,0.122,0.000,3.621,0.003,0.297,3.216,0.069,0.530,0.378,2.222,
11.809,0.121,0.000,11.525,0.002,0.298,11.124,0.069,0.525,0.372,10.142,
4.985,0.107,0.000,4.694,0.003,0.299,4.310,0.073,0.537,0.364,3.320,
8.595,0.119,0.000,8.315,0.002,0.298,7.881,0.065,0.527,0.363,6.910,
4.002,0.128,0.000,3.712,0.003,0.341,3.268,0.090,0.644,0.422,2.092,
3.961,0.124,0.000,3.675,0.003,0.324,3.252,0.073,0.739,0.420,2.000,
3.903,0.133,0.000,3.609,0.003,0.342,3.143,0.082,0.595,0.418,2.030,
7.452,0.121,0.000,7.170,0.003,0.330,6.732,0.087,0.564,0.556,5.506,
4.858,0.161,0.000,4.524,0.003,0.357,4.074,0.078,0.564,0.376,3.038,
3.942,0.124,0.000,3.656,0.003,0.296,3.262,0.067,0.534,0.375,2.269,
